description,category
Lunch at local grill,Food
Coffee and croissant at bakery,Food
Groceries – supermarket weekly shop,Food
Pizza delivery Friday night,Food
Sushi takeout dinner,Food
Fast food burger combo,Food
Street food – kebab and fries,Food
Italian pasta restaurant dinner,Food
Breakfast sandwich and latte,Food
Vegetarian bowl takeaway,Food
Uber ride to city center,Transport
Gas station fill-up,Transport
Monthly public transport pass,Transport
Taxi from airport,Transport
Bus ticket to neighboring town,Transport
Train ticket – intercity,Transport
Car parking fee downtown,Transport
Bike repair and chain replacement,Transport
Toll road payment,Transport
Car wash full service,Transport
Metro card top-up,Transport
Netflix monthly subscription,Entertainment
Spotify premium family plan,Entertainment
Cinema ticket + popcorn,Entertainment
Concert ticket – local band,Entertainment
Video game – new release,Entertainment
Theater play ticket,Entertainment
Online streaming service renewal,Entertainment
Bowling night with friends,Entertainment
Museum entrance fee,Entertainment
Board game purchase,Entertainment
New running shoes,Shopping
Winter jacket – H&M,Shopping
Phone case and screen protector,Shopping
Amazon order – books and gadgets,Shopping
Clothes shopping spree – Zara,Shopping
Wireless earbuds purchase,Shopping
Beauty products – Sephora,Shopping
Laptop backpack,Shopping
Kitchen appliances – small,Shopping
Watch from online store,Shopping
Electricity bill – monthly,Bills
Internet and TV package,Bills
Rent payment – apartment,Bills
Mobile phone bill,Bills
Water supply bill,Bills
Home insurance payment,Bills
Gas / heating bill,Bills
Building maintenance fee,Bills
Credit card minimum payment,Bills
Car insurance installment,Bills
Pharmacy – vitamins and painkillers,Health
Doctor visit – general check-up,Health
Gym membership monthly fee,Health
Prescription medicine pickup,Health
Dental cleaning and check-up,Health
Massage therapy session,Health
Eye examination + new glasses,Health
Yoga studio monthly pass,Health
Blood test package,Health
Physiotherapy session,Health
Dinner at family restaurant,Food
Takeaway Chinese food,Food
Café lunch – sandwich and juice,Food
Supermarket – fruits and vegetables,Food
Bakery fresh bread and pastries,Food
Public bus monthly ticket,Transport
Fuel for personal car,Transport
Taxi late night ride,Transport
Disney+ subscription renewal,Entertainment
Movie night tickets ×2,Entertainment
PlayStation game download,Entertainment
New sneakers – sport brand,Shopping
Handbag purchase,Shopping
Headphones – wireless,Shopping
Internet service bill,Bills
Mobile postpaid plan,Bills
Electricity – winter usage,Bills
Annual health check package,Health
Medicines for flu and cough,Health
Grilled chicken takeaway,Food
Coffee shop loyalty card top-up,Food
Train ticket weekend trip,Transport
Spotify student plan,Entertainment
Online fashion order,Shopping
Rent – monthly transfer,Bills
Gym personal training session,Health
Weekend brunch with friends,Food
Uber to work (rainy day),Transport
Netflix – new account,Entertainment
Electronics store – accessories,Shopping
Dental filling treatment,Health